Month,LC_RAININ,LC_DAILYRAIN,LC_WINDDIR,LC_WINDSPEED,Day,Hour,LC_TEMP_QCL3
1,0.00011235433686414526,0.0010326093416414847,-16.334089173954585,0.3365354003136129,15.99965712875044,11.499737132042004,4.698143752313341
2,0.00013093466553287981,0.0012570962908973113,-25.171682661159704,0.7407466290087463,14.5,11.5,6.923137807116464
3,9.927492502377295e-06,0.00010466727013386,12.190263605442176,0.25073193255796944,16.0,11.5,8.11320135154113
4,5.4193548387096774e-05,0.0005029578823277248,3.643446575929697,0.3692712035151645,15.50031079198371,11.500246490193977,10.704171416890992
5,7.555298353909465e-05,0.0006526512511615558,-9.022239645559537,0.24047530449356166,16.0,11.5,15.572697460573147
6,0.00018433427640603567,0.0021897848079561045,-6.516527349108368,0.1981033736282579,15.5,11.5,18.171332530329536
7,0.0002198679974777645,0.000348068498606133,-9.940725391610249,0.207655005475906,16.0,11.5,19.854176962567013
8,2.800386632151865e-05,0.0003572634574538697,0.3641228594185583,0.16851517904553298,16.0,11.5,21.50881380124267
9,0.00021737825788751715,0.002335641718106996,-6.154130229766804,0.17283592678326476,15.5,11.5,15.233992502644288
10,6.719393004115226e-05,0.0010610833167396787,-3.041569178945971,0.19494109252621797,16.0,11.5,14.108410728044515
11,0.0001721857853223594,0.0022760416666666667,-3.4727087620027435,0.33528347908093276,15.5,11.5,9.155312234573728
12,0.00018502132284614365,0.003634439715252887,-6.454915040488517,0.33879733339970797,16.0,11.5,4.340580969564257
