Month,Day,Hour,LC_RAININ,LC_DAILYRAIN,LC_WINDDIR,LC_WINDSPEED,LC_TEMP_QCL3
1,1,0,2.3148148148148147e-05,0.0029969135802469134,-33.56635802469136,1.4870987654320988,15.513391416666666
1,1,1,1.8518518518518518e-05,0.002174382716049383,-29.188271604938272,1.4655709876543208,15.770756725308642
1,1,2,3.3444816053511705e-06,0.00035953177257525085,-18.19732441471572,0.38956521739130434,13.100357825627075
1,1,3,6.8027210884353745e-06,0.0,-16.227891156462587,0.22260204081632656,12.669197187489026
1,1,4,8.503401360544217e-06,0.0,-13.710884353741497,0.2171938775510204,12.520271498539993
1,1,5,0.0,0.0,-16.401360544217688,0.17824829931972788,12.38619375444509
1,1,6,0.0,0.0,-10.268707482993197,0.23767006802721088,12.080705661436923
1,1,7,5.102040816326531e-06,6.8027210884353745e-06,-3.5391156462585034,0.14375850340136054,11.22706766879482
1,1,8,0.0,1.0204081632653061e-05,4.875850340136054,0.10076530612244898,10.796071636887033
1,1,9,3.4013605442176872e-06,1.5306122448979594e-05,-10.29251700680272,0.14068027210884354,10.694374481092588
1,1,10,0.0,2.0408163265306123e-05,-7.91156462585034,0.18467687074829933,10.336767490110175
1,1,11,0.0,2.2108843537414966e-05,-10.236394557823129,0.39697278911564626,10.923895532405249
1,1,12,3.4013605442176872e-06,3.061224489795919e-05,-2.9081632653061225,0.4729081632653061,11.597301364997717
1,1,13,0.0,3.061224489795919e-05,-12.629251700680273,0.48115646258503403,12.81572144809183
1,1,14,0.0,3.061224489795919e-05,-21.848639455782312,0.47571428571428576,13.765420618031476
1,1,15,3.4013605442176872e-06,3.91156462585034e-05,-12.353741496598639,0.5120748299319728,14.164516034487663
1,1,16,0.0,4.0816326530612245e-05,-1.780612244897959,0.29690476190476195,13.989589159255168
1,1,17,8.503401360544217e-06,4.421768707482993e-05,28.3656462585034,0.25918367346938775,13.347069229771051
1,1,18,0.0,5.10204081632653e-05,17.314625850340136,0.3005612244897959,12.779697572478659
1,1,19,1.7006802721088436e-06,5.10204081632653e-05,12.636054421768707,0.15049319727891156,12.036331404336092
1,1,20,3.4013605442176872e-06,5.10204081632653e-05,8.806122448979592,0.2412925170068027,11.681997879945877
1,1,21,0.0,5.10204081632653e-05,-3.6377551020408165,0.4388605442176871,11.78459307702944
1,1,22,5.102040816326531e-06,5.10204081632653e-05,-12.833333333333334,0.5015816326530612,11.963431063305398
1,1,23,0.0,5.10204081632653e-05,-8.110544217687075,0.4449149659863946,11.994650791784041
1,2,0,0.0,5.10204081632653e-05,-18.622448979591837,0.5311734693877551,11.99807911234322
1,2,1,0.0,1.3605442176870749e-05,-20.607142857142858,0.47278911564625853,11.990756105628543
1,2,2,5.102040816326531e-06,0.0,-16.447278911564627,0.34520408163265304,12.027937833503675
